pd . set_option ( 'display.max_columns' , <val6> )	<val6> 番目までの列を表示させる
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目までの列を表示させる
pd . set_option ( 'display.max_columns' , <val2> )	最大表示列数を <val2> 列に設定する
pd . set_option ( 'display.max_columns' , <val1> )	最大表示列数を <val1> 列に設定する
pd . set_option ( 'display.max_columns' , <val2> )	<val2> 番まで列が表示できるように変更する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番まで列が表示できるように変更する
pd . set_option ( 'display.max_columns' , <val5> )	<val5> 番目まで列が表示できるようにセットする
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列が表示できるようにセットする
pd . set_option ( 'display.max_columns' , <val4> )	<val4> 番目まで列を表示できるようにセットする
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列を表示できるようにセットする
pd . set_option ( 'display.max_columns' , <val3> )	<val3> 番目まで列を表示できるように変更する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列を表示できるように変更する
pd . set_option ( 'display.max_columns' , <val2> )	<val2> 番まで列を表示できるように設定する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番まで列を表示できるように設定する
pd . set_option ( 'display.max_columns' , <val2> )	<val2> 番目まで列を表示できるように設定する
pd . set_option ( 'display.max_columns' , <val1> )	<val1> 番目まで列を表示できるように設定する
encoding = 'shift_jis'	そこで、シフト JIS を用いる
encoding = 'shift_jis'	そこで、文字コードは shift - jis
encoding = 'shift_jis'	そこで、文字コードとして shift - jis を使用する
encoding = 'shift_jis'	そこで、文字コードは shift - jis を用いる
encoding = 'shift_jis'	そこで、文字コードはシフト JIS とする
encoding = 'shift_jis'	そこで、文字コードとしてシフト JIS を使う
encoding = 'shift_jis'	そこで、文字コードはシフト JIS を用いる
encoding = 'shift_jis'	そこで、文字コードをシフト JIS にする
encoding = 'shift_jis'	そこで、文字コードを shift - jis に設定する
encoding = 'shift_jis'	そこで、文字コードはシフト JIS
encoding = 'shift_jis'	そこで、文字コードは shift - jis
encoding = 'shift_jis'	そこで、文字コードが shift - jis である
encoding = 'shift_jis'	そこで、 header = None @option
encoding = 'shift_jis'	そこで、ヘッダーを指定しない
encoding = 'shift_jis'	そこで、ヘッダー無し
encoding = 'shift_jis'	そこで、ヘッダーは無し
encoding = 'shift_jis'	そこで、 0 行目をヘッダーとして認識しない
encoding = 'shift_jis'	そこで、先頭行をヘッダーとして認識しない
encoding = 'shift_jis'	そこで、 0 行目をヘッダーとしない
encoding = 'shift_jis'	そこで、ヘッダー行を含まない
encoding = 'shift_jis'	そこで、列名なし
encoding = 'shift_jis'	そこで、列名いらない
color = <val2>	そこで、色を <val2> とする
color = <val1>	そこで、色を <val1> とする
fontsize = <val1>	そこで、文字の大きさを <val1> とする
fontsize = <val3>	そこで、フォントサイズを <val3> とする
fontsize = <val1>	そこで、フォントサイズを <val1> とする
pd . read_excel ( <val2> )	エクセルファイル <val2> を読む
pd . read_excel ( <val1> )	エクセルファイル <val1> を読む
pd . read_excel ( <val3> )	エクセルファイル <val3> をデータフレームとして読み込む
pd . read_excel ( <val1> )	エクセルファイル <val1> をデータフレームとして読み込む
pd . read_excel ( <val3> )	エクセルファイル <val3> をデータフレームとして読む
pd . read_excel ( <val1> )	エクセルファイル <val1> をデータフレームとして読む
pd . read_excel ( <val6> )	エクセルファイル <val6> を読み込む
pd . read_excel ( <val1> )	エクセルファイル <val1> を読み込む
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> を読み、 <name1> とする
<name4> = pd . read_excel ( <val5> )	エクセルファイル <val5> をデータフレームとして読み込み、 <name4> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> をデータフレームとして読み込み、 <name1> とする
<name3> = pd . read_excel ( <val5> )	エクセルファイル <val5> をデータフレームとして読んで、 <name3> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> をデータフレームとして読んで、 <name1> とする
<name2> = pd . read_excel ( <val1> )	エクセルファイル <val1> を読み込んで、 <name2> とする
<name1> = pd . read_excel ( <val2> )	エクセルファイル <val2> を読み込んで、 <name1> とする
pd . read_excel ( <val5> )	エクセルファイル <val5> から読む
